Jan. 19, 2017   14:05:09
Amperometric i-t Curve
File: c:\users\nanopittet\desktop\transloc\p9aunp.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Header: 
Note: 

Init E (V) = -6
Sample Interval (s) = 0.002
Run Time (sec) = 300
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

8.020e-1, -4.571e-9
8.040e-1, -5.185e-9
8.060e-1, -5.799e-9
8.080e-1, -6.105e-9
8.100e-1, -6.105e-9
8.120e-1, -5.799e-9
8.140e-1, -5.185e-9
8.160e-1, -4.878e-9
8.180e-1, -4.878e-9
8.200e-1, -4.878e-9
8.220e-1, -5.492e-9
8.240e-1, -6.105e-9
8.260e-1, -6.105e-9
8.280e-1, -6.105e-9
8.300e-1, -5.492e-9
8.320e-1, -4.571e-9
8.340e-1, -4.878e-9
8.360e-1, -4.571e-9
8.380e-1, -5.185e-9
8.400e-1, -6.105e-9
8.420e-1, -6.105e-9
8.440e-1, -6.412e-9
8.460e-1, -5.492e-9
8.480e-1, -4.878e-9
8.500e-1, -4.878e-9
8.520e-1, -4.571e-9
8.540e-1, -5.185e-9
8.560e-1, -5.799e-9
8.580e-1, -6.105e-9
8.600e-1, -6.412e-9
8.620e-1, -5.799e-9
8.640e-1, -5.185e-9
8.660e-1, -4.878e-9
8.680e-1, -4.878e-9
8.700e-1, -4.878e-9
8.720e-1, -5.492e-9
8.740e-1, -6.105e-9
8.760e-1, -6.105e-9
8.780e-1, -6.105e-9
8.800e-1, -5.492e-9
8.820e-1, -4.571e-9
8.840e-1, -4.878e-9
8.860e-1, -4.571e-9
8.880e-1, -5.185e-9
8.900e-1, -6.105e-9
8.920e-1, -6.105e-9
8.940e-1, -6.412e-9
8.960e-1, -5.492e-9
8.980e-1, -4.878e-9
9.000e-1, -4.878e-9
9.020e-1, -4.571e-9
9.040e-1, -5.185e-9
9.060e-1, -5.799e-9
9.080e-1, -6.105e-9
9.100e-1, -6.105e-9
9.120e-1, -5.799e-9
9.140e-1, -5.185e-9
9.160e-1, -4.878e-9
9.180e-1, -4.878e-9
9.200e-1, -4.878e-9
9.220e-1, -5.492e-9
9.240e-1, -6.105e-9
9.260e-1, -6.105e-9
9.280e-1, -6.105e-9
9.300e-1, -5.492e-9
9.320e-1, -4.571e-9
9.340e-1, -4.878e-9
9.360e-1, -4.571e-9
9.380e-1, -5.185e-9
9.400e-1, -6.105e-9
9.420e-1, -6.105e-9
9.440e-1, -6.412e-9
9.460e-1, -5.492e-9
9.480e-1, -4.878e-9
9.500e-1, -4.878e-9
9.520e-1, -4.571e-9
9.540e-1, -5.185e-9
9.560e-1, -5.799e-9
9.580e-1, -6.105e-9
9.600e-1, -6.412e-9
9.620e-1, -5.799e-9
9.640e-1, -5.185e-9
9.660e-1, -4.878e-9
9.680e-1, -4.878e-9
9.700e-1, -4.878e-9
9.720e-1, -5.492e-9
9.740e-1, -6.105e-9
9.760e-1, -6.105e-9
9.780e-1, -6.105e-9
9.800e-1, -5.492e-9
9.820e-1, -4.571e-9
9.840e-1, -4.878e-9
9.860e-1, -4.571e-9
9.880e-1, -5.185e-9
9.900e-1, -6.105e-9
9.920e-1, -6.105e-9
9.940e-1, -6.105e-9
9.960e-1, -5.492e-9
9.980e-1, -4.878e-9
1.000e+0, -4.878e-9
1.002e+0, -4.571e-9
1.004e+0, -5.185e-9
1.006e+0, -5.799e-9
1.008e+0, -6.105e-9
1.010e+0, -6.105e-9
1.012e+0, -5.799e-9
1.014e+0, -5.185e-9
1.016e+0, -4.878e-9
1.018e+0, -4.878e-9
1.020e+0, -4.878e-9
1.022e+0, -5.492e-9
1.024e+0, -6.105e-9
1.026e+0, -6.105e-9
1.028e+0, -6.105e-9
1.030e+0, -5.492e-9
1.032e+0, -4.571e-9
1.034e+0, -4.878e-9
1.036e+0, -4.571e-9
1.038e+0, -5.185e-9
1.040e+0, -6.105e-9
1.042e+0, -6.105e-9
1.044e+0, -6.412e-9
1.046e+0, -5.492e-9
1.048e+0, -4.878e-9
1.050e+0, -4.878e-9
1.052e+0, -4.571e-9
1.054e+0, -5.185e-9
1.056e+0, -5.799e-9
1.058e+0, -6.105e-9
1.060e+0, -6.105e-9
