Nov. 10, 2015   10:07:12
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa4.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Potential/V, Current/A

-0.668, -1.079e-8
-0.667, -1.199e-8
-0.666, -1.214e-8
-0.665, -1.155e-8
-0.664, -1.131e-8
-0.663, -1.195e-8
-0.662, -1.161e-8
-0.661, -1.074e-8
-0.660, -1.056e-8
-0.659, -1.091e-8
-0.658, -1.061e-8
-0.657, -1.051e-8
-0.656, -1.112e-8
-0.655, -1.148e-8
-0.654, -1.129e-8
-0.653, -1.200e-8
-0.652, -1.183e-8
-0.651, -1.118e-8
-0.650, -1.135e-8
-0.649, -1.302e-8
-0.648, -1.475e-8
-0.647, -1.514e-8
-0.646, -1.302e-8
-0.645, -1.053e-8
-0.644, -9.028e-9
-0.643, -7.597e-9
-0.642, -6.010e-9
-0.641, -5.324e-9
-0.640, -5.875e-9
-0.639, -6.640e-9
-0.638, -6.913e-9
-0.637, -7.262e-9
-0.636, -7.216e-9
-0.635, -8.268e-9
-0.634, -8.416e-9
-0.633, -8.068e-9
-0.632, -8.910e-9
-0.631, -8.839e-9
-0.630, -8.761e-9
-0.629, -8.514e-9
-0.628, -9.320e-9
-0.627, -1.041e-8
-0.626, -1.226e-8
-0.625, -9.056e-9
-0.624, -6.580e-9
-0.623, -6.486e-9
-0.622, -7.005e-9
-0.621, -7.305e-9
-0.620, -7.433e-9
-0.619, -7.866e-9
-0.618, -8.317e-9
-0.617, -8.811e-9
-0.616, -9.221e-9
-0.615, -9.161e-9
-0.614, -9.768e-9
-0.613, -9.573e-9
-0.612, -9.626e-9
-0.611, -9.474e-9
-0.610, -9.865e-9
-0.609, -1.019e-8
-0.608, -1.044e-8
-0.607, -1.045e-8
-0.606, -9.909e-9
-0.605, -9.504e-9
-0.604, -9.003e-9
-0.603, -8.908e-9
-0.602, -9.013e-9
-0.601, -8.778e-9
-0.600, -9.066e-9
-0.599, -9.474e-9
-0.598, -9.511e-9
-0.597, -9.553e-9
-0.596, -9.032e-9
-0.595, -9.574e-9
-0.594, -9.368e-9
-0.593, -9.288e-9
-0.592, -9.180e-9
-0.591, -8.920e-9
-0.590, -9.105e-9
-0.589, -9.202e-9
-0.588, -9.664e-9
-0.587, -1.021e-8
-0.586, -1.010e-8
-0.585, -9.902e-9
-0.584, -9.232e-9
-0.583, -8.802e-9
-0.582, -9.331e-9
-0.581, -9.041e-9
-0.580, -9.000e-9
-0.579, -8.561e-9
-0.578, -8.998e-9
-0.577, -9.129e-9
-0.576, -9.199e-9
-0.575, -9.143e-9
-0.574, -9.471e-9
-0.573, -9.801e-9
-0.572, -1.029e-8
-0.571, -8.822e-9
-0.570, -7.913e-9
-0.569, -7.894e-9
-0.568, -7.911e-9
-0.567, -8.184e-9
-0.566, -7.788e-9
-0.565, -7.985e-9
-0.564, -7.874e-9
-0.563, -8.123e-9
-0.562, -8.431e-9
-0.561, -8.292e-9
-0.560, -8.806e-9
-0.559, -8.688e-9
-0.558, -9.104e-9
-0.557, -9.450e-9
-0.556, -9.443e-9
-0.555, -8.929e-9
-0.554, -8.540e-9
-0.553, -8.281e-9
-0.552, -8.586e-9
-0.551, -8.424e-9
-0.550, -8.810e-9
-0.549, -8.497e-9
-0.548, -8.286e-9
-0.547, -8.532e-9
-0.546, -8.188e-9
-0.545, -8.476e-9
-0.544, -8.379e-9
-0.543, -7.842e-9
-0.542, -7.948e-9
-0.541, -7.654e-9
-0.540, -7.935e-9
-0.539, -7.652e-9
-0.538, -7.566e-9
-0.537, -7.697e-9
-0.536, -8.011e-9
-0.535, -8.347e-9
-0.534, -7.318e-9
-0.533, -6.533e-9
-0.532, -6.685e-9
-0.531, -6.697e-9
-0.530, -6.890e-9
-0.529, -6.932e-9
-0.528, -7.019e-9
-0.527, -6.601e-9
-0.526, -6.474e-9
-0.525, -7.201e-9
-0.524, -6.863e-9
-0.523, -6.771e-9
-0.522, -7.151e-9
-0.521, -7.042e-9
-0.520, -6.743e-9
-0.519, -6.504e-9
-0.518, -6.520e-9
-0.517, -6.786e-9
-0.516, -6.920e-9
-0.515, -7.101e-9
-0.514, -6.944e-9
-0.513, -7.034e-9
-0.512, -6.879e-9
-0.511, -6.622e-9
-0.510, -6.611e-9
-0.509, -6.435e-9
-0.508, -6.481e-9
-0.507, -6.744e-9
-0.506, -6.768e-9
-0.505, -6.983e-9
-0.504, -6.913e-9
-0.503, -7.250e-9
-0.502, -7.218e-9
-0.501, -6.946e-9
-0.500, -7.074e-9
-0.499, -6.995e-9
-0.498, -7.007e-9
-0.497, -6.778e-9
-0.496, -6.526e-9
-0.495, -6.465e-9
-0.494, -6.106e-9
-0.493, -6.284e-9
-0.492, -6.329e-9
-0.491, -6.238e-9
-0.490, -7.028e-9
-0.489, -7.440e-9
-0.488, -6.984e-9
-0.487, -6.287e-9
-0.486, -5.556e-9
-0.485, -5.707e-9
-0.484, -5.343e-9
-0.483, -5.164e-9
-0.482, -5.227e-9
-0.481, -5.298e-9
-0.480, -5.847e-9
-0.479, -7.262e-9
-0.478, -7.282e-9
-0.477, -6.600e-9
-0.476, -6.132e-9
-0.475, -5.910e-9
-0.474, -5.532e-9
-0.473, -5.543e-9
-0.472, -5.298e-9
-0.471, -5.100e-9
-0.470, -5.100e-9
-0.469, -4.891e-9
-0.468, -4.973e-9
-0.467, -5.127e-9
-0.466, -4.930e-9
-0.465, -5.301e-9
-0.464, -5.249e-9
-0.463, -5.132e-9
-0.462, -5.309e-9
-0.461, -5.267e-9
-0.460, -5.320e-9
-0.459, -4.925e-9
-0.458, -4.859e-9
-0.457, -4.732e-9
-0.456, -4.499e-9
-0.455, -4.743e-9
-0.454, -4.494e-9
-0.453, -4.505e-9
-0.452, -4.606e-9
-0.451, -5.134e-9
-0.450, -5.597e-9
-0.449, -5.156e-9
-0.448, -4.956e-9
-0.447, -4.801e-9
-0.446, -4.579e-9
-0.445, -4.632e-9
-0.444, -4.396e-9
-0.443, -4.380e-9
-0.442, -4.487e-9
-0.441, -4.281e-9
-0.440, -4.454e-9
-0.439, -4.113e-9
-0.438, -4.278e-9
-0.437, -3.990e-9
-0.436, -3.871e-9
-0.435, -4.121e-9
-0.434, -4.031e-9
-0.433, -3.976e-9
-0.432, -3.809e-9
-0.431, -3.532e-9
-0.430, -3.590e-9
-0.429, -3.494e-9
-0.428, -3.611e-9
-0.427, -3.659e-9
-0.426, -3.549e-9
-0.425, -3.856e-9
-0.424, -3.758e-9
-0.423, -3.753e-9
-0.422, -3.740e-9
-0.421, -3.642e-9
-0.420, -3.817e-9
-0.419, -3.711e-9
-0.418, -3.720e-9
-0.417, -3.705e-9
-0.416, -3.553e-9
-0.415, -3.699e-9
-0.414, -3.504e-9
-0.413, -3.477e-9
-0.412, -3.531e-9
-0.411, -3.451e-9
-0.410, -3.575e-9
-0.409, -3.384e-9
-0.408, -3.450e-9
-0.407, -3.474e-9
-0.406, -3.320e-9
-0.405, -3.479e-9
-0.404, -3.300e-9
-0.403, -3.382e-9
-0.402, -3.373e-9
-0.401, -3.225e-9
-0.400, -3.336e-9
-0.399, -3.208e-9
-0.398, -3.411e-9
-0.397, -3.350e-9
-0.396, -3.202e-9
-0.395, -3.357e-9
-0.394, -3.140e-9
-0.393, -3.255e-9
-0.392, -3.425e-9
-0.391, -3.393e-9
-0.390, -3.549e-9
-0.389, -3.361e-9
-0.388, -3.527e-9
-0.387, -3.429e-9
-0.386, -3.167e-9
-0.385, -3.204e-9
-0.384, -3.042e-9
-0.383, -3.076e-9
-0.382, -3.049e-9
-0.381, -2.941e-9
-0.380, -3.062e-9
-0.379, -2.836e-9
-0.378, -2.889e-9
-0.377, -2.886e-9
-0.376, -2.770e-9
-0.375, -2.899e-9
-0.374, -2.755e-9
-0.373, -2.807e-9
-0.372, -2.784e-9
-0.371, -2.630e-9
-0.370, -2.737e-9
-0.369, -2.696e-9
-0.368, -2.731e-9
-0.367, -2.696e-9
-0.366, -2.572e-9
-0.365, -2.660e-9
-0.364, -2.497e-9
-0.363, -2.594e-9
-0.362, -2.656e-9
-0.361, -2.502e-9
-0.360, -2.627e-9
-0.359, -2.454e-9
-0.358, -2.549e-9
-0.357, -2.525e-9
