Nov. 10, 2015   10:06:34
Linear Sweep Voltammetry
File: e:\10-11\ph17 mcf10a\acid\aa3.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Ref. Electrode: 
Header: 
Note: 

Init E (V) = -1
Final E (V) = 1
Scan Rate (V/s) = 0.1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7


Potential/V, Current/A

-0.621, -3.968e-10
-0.620, -2.608e-10
-0.619, -4.114e-10
-0.618, -3.124e-10
-0.617, -3.515e-10
-0.616, -4.074e-10
-0.615, -2.677e-10
-0.614, -4.073e-10
-0.613, -3.052e-10
-0.612, -3.363e-10
-0.611, -3.923e-10
-0.610, -2.578e-10
-0.609, -4.057e-10
-0.608, -2.996e-10
-0.607, -3.359e-10
-0.606, -3.916e-10
-0.605, -2.652e-10
-0.604, -4.129e-10
-0.603, -3.080e-10
-0.602, -3.393e-10
-0.601, -3.964e-10
-0.600, -2.576e-10
-0.599, -4.053e-10
-0.598, -3.071e-10
-0.597, -3.370e-10
-0.596, -3.933e-10
-0.595, -2.598e-10
-0.594, -4.033e-10
-0.593, -2.940e-10
-0.592, -3.238e-10
-0.591, -3.858e-10
-0.590, -2.542e-10
-0.589, -4.001e-10
-0.588, -2.965e-10
-0.587, -3.274e-10
-0.586, -3.875e-10
-0.585, -2.527e-10
-0.584, -3.987e-10
-0.583, -2.925e-10
-0.582, -3.289e-10
-0.581, -3.876e-10
-0.580, -2.543e-10
-0.579, -3.996e-10
-0.578, -2.881e-10
-0.577, -3.253e-10
-0.576, -3.880e-10
-0.575, -2.573e-10
-0.574, -4.040e-10
-0.573, -2.995e-10
-0.572, -3.297e-10
-0.571, -3.903e-10
-0.570, -2.609e-10
-0.569, -4.073e-10
-0.568, -2.989e-10
-0.567, -3.368e-10
-0.566, -3.957e-10
-0.565, -2.648e-10
-0.564, -4.055e-10
-0.563, -2.965e-10
-0.562, -3.223e-10
-0.561, -3.752e-10
-0.560, -2.405e-10
-0.559, -3.831e-10
-0.558, -2.768e-10
-0.557, -3.096e-10
-0.556, -3.688e-10
-0.555, -2.363e-10
-0.554, -3.843e-10
-0.553, -2.784e-10
-0.552, -3.078e-10
-0.551, -3.631e-10
-0.550, -2.334e-10
-0.549, -3.795e-10
-0.548, -2.711e-10
-0.547, -3.024e-10
-0.546, -3.627e-10
-0.545, -2.341e-10
-0.544, -3.810e-10
-0.543, -2.707e-10
-0.542, -3.003e-10
-0.541, -3.497e-10
-0.540, -2.166e-10
-0.539, -3.598e-10
-0.538, -2.477e-10
-0.537, -2.826e-10
-0.536, -3.396e-10
-0.535, -2.058e-10
-0.534, -3.559e-10
-0.533, -2.481e-10
-0.532, -2.829e-10
-0.531, -3.374e-10
-0.530, -2.091e-10
-0.529, -3.581e-10
-0.528, -2.504e-10
-0.527, -2.885e-10
-0.526, -3.425e-10
-0.525, -2.077e-10
-0.524, -3.538e-10
-0.523, -2.439e-10
-0.522, -2.827e-10
-0.521, -3.394e-10
-0.520, -2.101e-10
-0.519, -3.543e-10
-0.518, -2.482e-10
-0.517, -2.869e-10
-0.516, -3.443e-10
-0.515, -2.101e-10
-0.514, -3.520e-10
-0.513, -2.439e-10
-0.512, -2.809e-10
-0.511, -3.382e-10
-0.510, -2.121e-10
-0.509, -3.572e-10
-0.508, -2.466e-10
-0.507, -2.836e-10
-0.506, -3.404e-10
-0.505, -2.115e-10
-0.504, -3.590e-10
-0.503, -2.526e-10
-0.502, -2.894e-10
-0.501, -3.409e-10
-0.500, -2.096e-10
-0.499, -3.524e-10
-0.498, -2.400e-10
-0.497, -2.754e-10
-0.496, -3.317e-10
-0.495, -2.007e-10
-0.494, -3.515e-10
-0.493, -2.444e-10
-0.492, -2.821e-10
-0.491, -3.351e-10
-0.490, -2.046e-10
-0.489, -3.485e-10
-0.488, -2.381e-10
-0.487, -2.732e-10
-0.486, -3.286e-10
-0.485, -2.020e-10
-0.484, -3.468e-10
-0.483, -2.396e-10
-0.482, -2.754e-10
-0.481, -3.284e-10
-0.480, -2.017e-10
-0.479, -3.459e-10
-0.478, -2.356e-10
-0.477, -2.740e-10
-0.476, -3.260e-10
-0.475, -1.939e-10
-0.474, -3.415e-10
-0.473, -2.329e-10
-0.472, -2.744e-10
-0.471, -3.285e-10
-0.470, -1.998e-10
-0.469, -3.420e-10
-0.468, -2.268e-10
-0.467, -2.673e-10
-0.466, -3.244e-10
-0.465, -1.940e-10
-0.464, -3.397e-10
-0.463, -2.297e-10
-0.462, -2.699e-10
-0.461, -3.241e-10
-0.460, -1.905e-10
-0.459, -3.378e-10
-0.458, -2.274e-10
-0.457, -2.673e-10
-0.456, -3.201e-10
-0.455, -1.933e-10
-0.454, -3.358e-10
-0.453, -2.211e-10
-0.452, -2.603e-10
-0.451, -3.102e-10
-0.450, -1.849e-10
-0.449, -3.330e-10
-0.448, -2.250e-10
-0.447, -2.639e-10
-0.446, -3.123e-10
-0.445, -1.832e-10
-0.444, -3.296e-10
-0.443, -2.192e-10
-0.442, -2.634e-10
-0.441, -3.185e-10
-0.440, -1.855e-10
-0.439, -3.306e-10
-0.438, -2.205e-10
-0.437, -2.619e-10
-0.436, -3.159e-10
-0.435, -1.870e-10
-0.434, -3.327e-10
-0.433, -2.225e-10
-0.432, -2.609e-10
-0.431, -3.110e-10
-0.430, -1.834e-10
-0.429, -3.302e-10
-0.428, -2.180e-10
-0.427, -2.596e-10
-0.426, -3.124e-10
-0.425, -1.843e-10
-0.424, -3.292e-10
-0.423, -2.174e-10
-0.422, -2.594e-10
-0.421, -3.166e-10
-0.420, -1.831e-10
-0.419, -3.281e-10
-0.418, -2.221e-10
-0.417, -2.653e-10
-0.416, -3.158e-10
-0.415, -1.868e-10
-0.414, -3.293e-10
-0.413, -2.161e-10
-0.412, -2.593e-10
-0.411, -3.126e-10
-0.410, -1.823e-10
-0.409, -3.264e-10
-0.408, -2.129e-10
-0.407, -2.552e-10
-0.406, -3.077e-10
-0.405, -1.817e-10
-0.404, -3.281e-10
-0.403, -2.171e-10
-0.402, -2.566e-10
-0.401, -3.060e-10
-0.400, -1.783e-10
-0.399, -3.258e-10
-0.398, -2.184e-10
-0.397, -2.638e-10
-0.396, -3.176e-10
-0.395, -1.897e-10
-0.394, -3.323e-10
-0.393, -2.167e-10
-0.392, -2.575e-10
-0.391, -3.095e-10
-0.390, -1.845e-10
-0.389, -3.295e-10
